text;lang;country
"It’s a #MatchDay #HoppSchwiiz
#WorldCup2018 #Playoffs https://t.co/ZCKPQyZBXy";en;Switzerland
"RT @HOMESofFOOTBALL: #InternationalBreaks
SCOTLAND crowd the Villa house Vs Switzerland #Euro96
by Stuart Roy Clarke… ";en;
Check out england football shirt collection. Ready for World Cup #WorldCup2018 https://t.co/88UMnTBgb3;en;United Kingdom
RT @footballitalia: #Italy midfielder Daniele De Rossi admits he’s glad #Sweden don’t have Zlatan Ibrahimovic anymore - “even at 40 wit… ;en;
RT @footballitalia: Claudio Ranieri doesn’t expect an easy play-off for #Italy, because “#Sweden are super-organised and have nothing t… ;en;
Adidas unveils eight #WorldCup2018 kits that pay homage to classic football shirts https://t.co/rdYOMXqkFq https://t.co/zfcxWRtaF1;en;
RT @SBOBET: Jamie Vardy says he still feels 21 but admits that it will be a tough battle for him to gain a spot in the… ;en;
"World Cup UEFA qualificaton 2nd round:
Switzerland lineup against N.Ireland today. ⚽🌍🏟🤔

Create your team with Line… https://t.co/NhiFe9x7bW";en;
How did I miss this 3 years ago? Dead. #WorldCup #WorldCup2018 #BarackSmalling https://t.co/e84XRZ5GlG;en;
"Oh yeah! 
Had *Owl-Face* as manager and he said 
*We didn't need to win a game to have a great World Cup*

🙄🙄 https://t.co/Ryl4CTwXdX";en;
DFB world champion again #WorldCup2018 https://t.co/bFFl2ZRd3q;en;
Buffon's experienced Italy are favourites to beat Sweden in upcoming #WorldCup2018 play-offs, writes Ian Hawkey.… https://t.co/VGJmyBAcMU;en;
"World Cup UEFA qualificaton 2nd round:
Switzerland lineup against N.Ireland today. ⚽🌍🏟🤔

Create your team with Line… https://t.co/5u7hOUQp1m";en;
We say win of course! #WorldCupQualifiers #NorthernIreland #football #WorldCup2018 https://t.co/LTPbmKPzwd;en;
"Thursday could see three Royal Blues in action for their countries 🔵⚪️

- Breel #Embolo (🇨🇭🇬🇧
#WorldCup2018 Play-Of… https://t.co/cGdpUVUoa6";en;
Adidas unveils eight #WorldCup2018 kits that pay homage to classic football shirts https://t.co/DQ4krINi30;en;
"Why @ussoccer fails with #WorldCup &amp; #WorldCupQualifiers. A lesson in markets &amp; culture. https://t.co/Xu0teNoHkG #tcot #WorldCup2018 #futbol";en;
"Why @ussoccer fails with #WorldCup &amp; #WorldCupQualifiers. A lesson in markets &amp; culture. https://t.co/SYlM5Hukv3 #tcot #WorldCup2018 #futbol";en;
"RT @theZenCorner: World Cup qualifier today... 

🇭🇷Croatia-Greece🇬🇷 

🇬🇪Northern Ireland-Switzerland🇨🇭 

#Sports #WorldCup #WorldCup2018";en;
"Thursday could see three Royal Blues in action for their countries 🔵⚪️

- Breel #Embolo (🇨🇭 v NIR
#WorldCup2018 Pla… https://t.co/SY9C7KiUbw";en;
Our upcoming preview of the World Cup playoffs will be released shortly.  #WCQ #WCQ2018 #Playoffs #Socceroos #WorldCup2018 #worldcup;en;
RT @SMignolet: World Cup preparations in progress! No time to lose 💪🏻 🇧🇪 🔜 🇷🇺 #TousEnsemble #WorldCup2018 https://t.co/V5BkGdZki0;en;
Which team will go to the World Cup 2018? #WorldCup2018 #ItaliaSvezia #Italy #Sweden #Russia2018 #WorldCupQualifier #Playoffs;en;Nederland
"Croatia vs Greece on the way tonight in a #WorldCup qualifying play-off!

➡️ https://t.co/CksDZFKCXB

#CROGRE #WorldCup2018 ⚽🏆";en;
"Croatia vs Greece on the way tonight in a #WorldCup qualifying play-off!

➡️ https://t.co/5Q8y7viuNr

#CROGRE #WorldCup2018 ⚽🏆";en;
"Croatia vs Greece on the way tonight in a #WorldCup qualifying play-off!

➡️ https://t.co/20YZlFuaR6

#CROGRE #WorldCup2018 ⚽🏆";en;
"Croatia vs Greece on the way tonight in a #WorldCup qualifying play-off!

➡️ https://t.co/DekCUjYo0v

#CROGRE #WorldCup2018 ⚽🏆";en;
"RT @halkbet_eng: #WorldCup2018 Qualifying: Today's matches;

#NorthernIreland🇬🇧 vs #Switzerland🇨🇭
#Croatia🇭🇷 vs #Greece🇬🇷

Which mat… ";en;
Adidas unveils eight #WorldCup2018 kits that pay homage to classic football shirts https://t.co/DQ4krINi30 https://t.co/zT5jiI7ort;en;
45% of football fans will receive their World Cup news coverage from @SkySportsNews #WorldCup2018 https://t.co/HLsStotjtj;en;
45% of football fans will receive their World Cup news coverage from @SkySportsNews #WorldCup2018 https://t.co/4tXBduLmUY;en;
