text;lang;country
"RT @alexandreruiz: Voici le nouveau maillot de l'Espagne #WorldCup2018. Inspiré de l'édition WCup USA 1994 avec Guardiola.
Qu'en pense… ";fr;
Tunisie Libye J-2. #TUNLIB #WorldCup2018;fr;
Impatient de voir @Benzema au @CanalFootClub ce dimanche et de voir le reportage sur lui #football #Benzema #WorldCup2018 #FFF #deschamps;fr;
RT @DjabaliSamir: Impatient de voir @Benzema au @CanalFootClub ce dimanche et de voir le reportage sur lui #football #Benzema #WorldCup2018…;fr;
"#cdm2018 #barrages #worldcup2018 #playoffs 
#football 
Dernière ligne droite ➡ 
Au programme 6… https://t.co/A5hcsNLei6";fr;
Ensemble, nous ferons tous pour nous qualifier pour la Coupe du monde! #CIVMAR #WCQ #Worldcup2018 https://t.co/8mmn9rX8zS;fr;
RT @WilmotsMarc: Ensemble, nous ferons tous pour nous qualifier pour la Coupe du monde! #CIVMAR #WCQ #Worldcup2018 https://t.co/8mmn9rX8zS;fr;
Dans tes rêves 😂😂 https://t.co/XeRgDGkozl;fr;
20 millions de personnes sont derrière les #Eléphants de #CIV225 https://t.co/KWINaKQIva;fr;
RT @aremsbee: 20 millions de personnes sont derrière les #Eléphants de #CIV225 https://t.co/KWINaKQIva;fr;
🔰Cote a 11.63$ 🔰Inscrivez-vous sur Winamax via ce lien, vous recevrez un bonus de 10 € https://t.co/2hNI4085fE… https://t.co/1Lhwd3JuZK;fr;
@FIFAWorldCup 8 bit rulez 🎮 #WorldCup2018;fr;
Force à vous ! 💪🏾🇨🇮 https://t.co/Y3lHaiQG0B;fr;
Amen 🙏🏾 nous iront au stade 🇨🇮🇨🇮🇨🇮 on va compter les marocains si ils dépassent 400 ont les met tous dehors https://t.co/AKSt402l9q;fr;
RT @CommeIvoir: Amen 🙏🏾 nous iront au stade 🇨🇮🇨🇮🇨🇮 on va compter les marocains si ils dépassent 400 ont les met tous dehors https://t.co/AK…;fr;
RT @Esprit_225: Force à vous ! 💪🏾🇨🇮 https://t.co/Y3lHaiQG0B;fr;
